"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"0";" 5";" 0.00";" -4.009";"connaître";"0.045244880"
"0";" 5";" 0.00";" -4.009";"assurer";"0.045244880"
"0";" 5";" 0.00";" -4.009";"activité";"0.045244880"
"2";"12";"16.67";" -3.828";"violence";"0.050404158"
"1";" 8";"12.50";" -3.330";"fin";"0.068030707"
"0";" 4";" 0.00";" -3.194";"imposer";"0.073930558"
"0";" 4";" 0.00";" -3.194";"étape";"0.073930558"
"0";" 4";" 0.00";" -3.194";"voter";"0.073930558"
"0";" 4";" 0.00";" -3.194";"prochain";"0.073930558"
"0";" 4";" 0.00";" -3.194";"façon";"0.073930558"
"0";" 4";" 0.00";" -3.194";"disposition";"0.073930558"
"0";" 4";" 0.00";" -3.194";"disparaître";"0.073930558"
"2";"11";"18.18";" -3.116";"cas";"0.077522152"
"3";"13";"23.08";" -2.439";"travail";"0.118340512"
"0";" 3";" 0.00";" -2.385";"égal";"0.122529779"
"0";" 3";" 0.00";" -2.385";"part";"0.122529779"
"0";" 3";" 0.00";" -2.385";"décision";"0.122529779"
"0";" 3";" 0.00";" -2.385";"évoquer";"0.122529779"
"0";" 3";" 0.00";" -2.385";"à_juste_titre";"0.122529779"
"0";" 3";" 0.00";" -2.385";"versement";"0.122529779"
"0";" 3";" 0.00";" -2.385";"valeur";"0.122529779"
"0";" 3";" 0.00";" -2.385";"traitement";"0.122529779"
"0";" 3";" 0.00";" -2.385";"simple";"0.122529779"
"0";" 3";" 0.00";" -2.385";"réduction";"0.122529779"
"0";" 3";" 0.00";" -2.385";"règle";"0.122529779"
"0";" 3";" 0.00";" -2.385";"reprendre";"0.122529779"
"0";" 3";" 0.00";" -2.385";"quota";"0.122529779"
"0";" 3";" 0.00";" -2.385";"présenter";"0.122529779"
"0";" 3";" 0.00";" -2.385";"pierremauroy";"0.122529779"
"0";" 3";" 0.00";" -2.385";"occidental";"0.122529779"
"0";" 3";" 0.00";" -2.385";"marquer";"0.122529779"
"0";" 3";" 0.00";" -2.385";"guerre";"0.122529779"
"0";" 3";" 0.00";" -2.385";"forme";"0.122529779"
"0";" 3";" 0.00";" -2.385";"européen";"0.122529779"
"0";" 3";" 0.00";" -2.385";"développer";"0.122529779"
"0";" 3";" 0.00";" -2.385";"convention";"0.122529779"
"0";" 3";" 0.00";" -2.385";"concrétiser";"0.122529779"
"*****";"*";"*";"*";"*";"*"
" 3";"17";"17.65";"-5.158";"même";"0.02314421"
" 0";" 6";" 0.00";"-4.833";"parmi";"0.02792527"
" 0";" 6";" 0.00";"-4.833";"enfin";"0.02792527"
" 0";" 4";" 0.00";"-3.194";"personne";"0.07393056"
" 0";" 4";" 0.00";"-3.194";"an";"0.07393056"
" 2";"11";"18.18";"-3.116";"sans";"0.07752215"
" 3";"14";"21.43";"-3.072";"falloir";"0.07966498"
"12";"38";"31.58";"-2.830";"au";"0.09251161"
" 5";"19";"26.32";"-2.617";"bien";"0.10573751"
" 1";" 7";"14.29";"-2.581";"autre";"0.10816551"
" 4";"16";"25.00";"-2.509";"comme";"0.11319136"
" 0";" 3";" 0.00";"-2.385";"ni";"0.12252978"
" 0";" 3";" 0.00";"-2.385";"point";"0.12252978"
" 0";" 3";" 0.00";"-2.385";"pendant";"0.12252978"
" 0";" 3";" 0.00";"-2.385";"parfois";"0.12252978"
" 0";" 3";" 0.00";"-2.385";"20";"0.12252978"
"15";"44";"34.09";"-2.149";"je";"0.14265424"
"*";"*";"*";"*";"*";"*"
"49";"138";"35.51";"-9.891";"*loc_mitterand";"0.001661001"
"49";"138";"35.51";"-9.891";"*date_1982";"0.001661001"
"**";"classe";"5";"**";"";""
"****";"4";"232";"1.72";"****";""
"*****";"*";"*";"*";"*";"*"
"2";"191";"1.05";"-2.924";"de";"0.08729274"
"1";"146";"0.68";"-2.510";"la";"0.11310376"
"*";"*";"*";"*";"*";"*"
