"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"heureux";-0,53525223886086;2,87350175987213;-1,27913773759501;-2,29212613399884;-0,136246600812041;0,731439905871684;-0,325600074254017;-0,583452756880422;0,0221533533011519;0,59175420812865;0,100195087515716;0,285897351054483;0,000507070724257634;0,0146141811752004;0,00289591743670741;0,00929883577727517;0,00176991150442478;2,29923743088595;0,00935662436033098
"guerre";-4,82726162636829;5,76960123128229;1,11678015093257;0,0420791270314771;-0,634728121031327;0,758634694384067;0,146843453218798;0,00553291022998103;0,422576928061189;0,559489105427336;0,0179113696477115;2,25968637639256e-05;0,0412432828485095;0,0589173422442728;0,00220742992126896;3,13389899421449e-06;0,00176991150442478;4,74780651108137;0,0398967551622419
"garçon";1,33080211053682;0,708643087648255;0,179219198992315;1,01087837193847;0,729581433680267;0,388497159540477;0,098252774855533;0,554190653919042;0,594101665861824;0,156129457325184;0,00853281222987701;0,241236064583114;0,00313457390691902;0,000888805355171066;5,68487102432687e-05;0,00180862846522648;0,00176991150442478;1,1038960039037;0,00215679006625585
"forme";-0,0631051577993267;-0,185506680615493;-1,89603868300648;-2,77115189296361;-0,0187621612520814;-0,0551540694361972;-0,563722281209972;-0,823907276091918;0,000480540211896407;0,00384870887856331;0,34354507365556;0,652125677253981;7,04824945288127e-06;6,09074841645638e-05;0,0063627658185079;0,0135916509980103;0,00176991150442478;1,84053912827871;0,00599572439420345
"fondamental";1,70406923634487;1,66438833633998;-3,36253530880917;-4,94926447666482;0,26459967767225;0,258438218309508;-0,522118315322021;-0,768497991342881;0,091709340350612;0,0810857160451226;0,28278874516774;0,544416198436526;0,00513956099514512;0,0049029885560081;0,0200117587663511;0,0433543696636749;0,00176991150442478;3,59770472601262;0,0229088129125195
"fait";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
"exister";0,540531694916731;0,0226318913434489;0,0270288849432869;0,609898951638249;0,662646215379689;0,0277447877463153;0,0331351306168295;0,747684614737318;0,52643893454945;0,000855348902839235;0,00104244043352405;0,471663276114186;0,000517123032229299;9,06553107578192e-07;1,29302764827866e-06;0,000658365895945902;0,00176991150442478;0,476312774378337;0,000401546653161042
"européen";-1,04000913632344;-1,34939050126616;-0,277351743154768;-0,192059888962184;-0,598826467676551;-0,776965046909171;-0,159696255404483;-0,110586090903155;0,378704455980313;0,590877339848778;0,0213293304337057;0,00908887373720312;0,00191436991794022;0,00322275172549973;0,000136148653860157;6,52867273418878e-05;0,00176991150442478;1,08051801539154;0,00206640563112509
"effort";-0,249738720703354;-0,663379304961357;-0,125161429105741;0,208919531338032;-0,333205902377684;-0,885092625227663;-0,166992634584673;0,278744204213732;0,121492622581091;0,794507335057697;0,0241662066508191;0,0598338357103937;0,000110388369236368;0,000778888676550466;2,77263421872414e-05;7,72519833177046e-05;0,00176991150442478;0,458095467218748;0,000371418508117456
"développer";-3,56484412968668;3,39660398709947;0,652069519570121;-0,0359672116330766;-0,717699405514842;0,683828120845467;0,131279205913263;-0,0072411711334359;0,535339704480157;0,450437070945573;0,0141848739425684;3,83506317025649e-05;0,0224922365822328;0,0204193250357169;0,000752556917437891;2,28962887196199e-06;0,00176991150442478;3,115092041591;0,0171748644735993
