"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"leurs";-0,763529327307599;-0,62889903961623;-0,771875573120994;-0,635773622934404;NA;NA;NA;NA;NA;0,614753683195328;NA
"contre";-0,0929216428702194;-0,2365972566955;-0,365559400472288;-0,93078801277538;NA;NA;NA;NA;NA;0,153736122521743;NA
"autres";0,0543734375158296;-0,063419258608411;0,650888482494935;-0,759173355272326;NA;NA;NA;NA;NA;0,0514020454560327;NA
"ceux";0,588059138500706;-0,360294418402996;0,852684530426634;-0,522426158965179;NA;NA;NA;NA;NA;0,431812295369222;NA
"souvent";-0,513996401318622;-0,385036068903164;-0,800344596853275;-0,599540262440954;NA;NA;NA;NA;NA;0,400143511868233;NA
"sans";-1,17340739624379;0,473782942044506;-0,9272673860506;0,374399779336057;NA;NA;NA;NA;NA;0,798240695916201;NA
"car";1,19705896738752;0,685841556853553;0,867678094582332;0,497126466990014;NA;NA;NA;NA;NA;0,86506790727769;NA
"m";-0,164650304934053;-0,043627909904871;-0,966641288561942;-0,256133986903942;NA;NA;NA;NA;NA;0,107889563556546;NA
"entre";0,163252150214901;-0,92577349523346;0,173661904244673;-0,984805332547562;NA;NA;NA;NA;NA;0,56498614314265;NA
"dont";0,02662612723617;-0,558212834679881;0,0476447109657539;-0,998864345903381;NA;NA;NA;NA;NA;0,335300409491065;NA
"donc";0,428662111692187;0,0685263522428459;0,987462036403223;0,15785666492866;NA;NA;NA;NA;NA;0,275580549772415;NA
"alors";0,163252150214901;-0,92577349523346;0,173661904244673;-0,984805332547562;NA;NA;NA;NA;NA;0,56498614314265;NA
"toujours";0,546438173081217;-1,1024847825102;0,444087378636283;-0,895983482066469;NA;NA;NA;NA;NA;0,747054544996867;NA
"parce_que";0,588059138500706;-0,360294418402996;0,852684530426634;-0,522426158965179;NA;NA;NA;NA;NA;0,431812295369222;NA
"ainsi";1,0543585145207;-1,85881112008544;0,493378141451519;-0,869814928325472;NA;NA;NA;NA;NA;1,30103385396847;NA
"surtout";1,23273408060422;1,3220047260883;0,681982004867717;0,731368952743148;NA;NA;NA;NA;NA;1,11492401335497;NA
"sa";0,50906930858339;0,193874189627391;0,934522525659766;0,355903988506019;NA;NA;NA;NA;NA;0,343876822475044;NA
"pourquoi";-0,164650304934053;-0,043627909904871;-0,966641288561942;-0,256133986903942;NA;NA;NA;NA;NA;0,107889563556546;NA
"ici";0,109868058075149;0,92616789353453;0,117800539138082;0,993037276731733;NA;NA;NA;NA;NA;0,559982363037962;NA
"encore";0,608805332367798;-1,39229230765945;0,400640663752017;-0,916235263755081;NA;NA;NA;NA;NA;0,920544757045073;NA
"chacun";0,409178991576616;-1,5873826842299;0,249610255331285;-0,968346384530583;NA;NA;NA;NA;NA;0,987159381023155;NA
"celles";-0,451564953189388;0,728249477257645;-0,52698205063733;0,849876413548508;NA;NA;NA;NA;NA;0,522746486252073;NA
"celle";0,265721667448949;-1,20144399064864;0,215949985428651;-0,976404426348716;NA;NA;NA;NA;NA;0,740277923279023;NA
"cela";-0,451564953189388;0,728249477257645;-0,52698205063733;0,849876413548508;NA;NA;NA;NA;NA;0,522746486252073;NA
"autre";-1,0962398952929;-0,954049667233652;-0,754333703001328;-0,656491176266904;NA;NA;NA;NA;NA;0,901774899596982;NA
"son";-1,46214437346555;0,371996327959251;-0,969126618964825;0,246563574791182;NA;NA;NA;NA;NA;0,955888184999805;NA
"rien";0,109868058075149;0,92616789353453;0,117800539138082;0,993037276731733;NA;NA;NA;NA;NA;0,559982363037962;NA
"nos";0,109868058075149;0,92616789353453;0,117800539138082;0,993037276731733;NA;NA;NA;NA;NA;0,559982363037962;NA
"mme";0,265721667448949;-1,20144399064864;0,215949985428651;-0,976404426348716;NA;NA;NA;NA;NA;0,740277923279023;NA
"devant";-0,838369918451496;-0,281130009437133;-0,948114044065879;-0,31793043176935;NA;NA;NA;NA;NA;0,558993283732242;NA
"depuis";-0,513996401318622;-0,385036068903164;-0,800344596853275;-0,599540262440954;NA;NA;NA;NA;NA;0,400143511868233;NA
"celui";-1,01299796445392;0,530331060980759;-0,885934654127765;0,463810078173726;NA;NA;NA;NA;NA;0,718258353051599;NA
"beaucoup";1,14949214976524;-0,162376002126111;0,990169832640246;-0,139870306102429;NA;NA;NA;NA;NA;0,737187142538036;NA
"d_abord";1,23273408060422;1,3220047260883;0,681982004867717;0,731368952743148;NA;NA;NA;NA;NA;1,11492401335497;NA
"trop";-1,0962398952929;-0,954049667233652;-0,754333703001328;-0,656491176266904;NA;NA;NA;NA;NA;0,901774899596982;NA
"toute";0,02662612723617;-0,558212834679881;0,0476447109657539;-0,998864345903381;NA;NA;NA;NA;NA;0,335300409491065;NA
"force";0,265721667448949;-1,20144399064864;0,215949985428651;-0,976404426348716;NA;NA;NA;NA;NA;0,740277923279023;NA
"cet";1,23273408060422;1,3220047260883;0,681982004867717;0,731368952743148;NA;NA;NA;NA;NA;1,11492401335497;NA
"certain";-1,01299796445392;0,530331060980759;-0,885934654127765;0,463810078173726;NA;NA;NA;NA;NA;0,718258353051599;NA
