"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"falloir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000425904998350804;0,000807308139329503;0,00142529807962245;0,0239316239316239;0,248406902300858;0,00147672452572634
"rester";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000334639641561346;0,000634313538044609;0,00111987706256049;0,0188034188034188;0,248406902300858;0,00116028355592784
"aller";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000365061427157832;0,000691978405139574;0,00122168406824781;0,0205128205128205;0,248406902300858;0,00126576387919401
"voir";-0,744331943498745;0,109767890757201;-0,193891464344738;-0,958000654864221;0,141277977046325;-0,249550152236823;0,93895036479193;0,0180526962233591;0,0429969389847108;0,0104176589115193;0,000226562202143815;0,000706893845133704;0,0188034188034188;0,643920064023342;0,00779651886729926
"vivre";0,156416351857496;0,248580645754818;0,985330848887705;0,152130700883591;0,241769785675792;0,958333773057669;0,033319094094169;0,0743953205876965;0,892285585318135;0,000334578805174811;0,000845023418035997;0,0132769488105267;0,0136752136752137;0,718326978410867;0,00705632339026168
"penser";0,187246654752373;-0,707003613621397;-0,161165224475324;0,250020347756902;-0,944023750794232;-0,215195222167935;0,070903756349239;0,893648008267099;0,0354482353836604;0,000599338627623152;0,00854451469527715;0,000444003924447547;0,0170940170940171;0,589475912298096;0,00593986070392604
"venir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,000243374284771888;0,000461318936759716;0,000814456045498541;0,0136752136752137;0,248406902300858;0,000843842586129337
"passer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,000243374284771888;0,000461318936759716;0,000814456045498541;0,0136752136752137;0,248406902300858;0,000843842586129337
"sentir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,000212952499175402;0,000403654069664751;0,000712649039811223;0,011965811965812;0,248406902300858;0,00073836226286317
"mener";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000182530713578916;0,000345989202569787;0,000610842034123906;0,0102564102564103;0,248406902300858;0,000632881939597003
"entendre";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,000212952499175402;0,000403654069664751;0,000712649039811223;0,011965811965812;0,248406902300858;0,00073836226286317
"comprendre";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000182530713578916;0,000345989202569787;0,000610842034123906;0,0102564102564103;0,248406902300858;0,000632881939597003
"appeler";0,159703767857361;0,257853875796616;1,16095571736411;0,133095157383214;0,214892251081229;0,967526226779605;0,0256626599704352;0,0591426510654419;0,915194688964123;0,000305191545769001;0,000795590339903177;0,0161277388782273;0,011965811965812;0,83570104516966;0,0083568780483481
"trouver";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"montrer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"définir";0,223141464681661;-1,30078471301048;-0,105913220494106;0,168532263778983;-0,982444892909082;-0,0799931775990588;0,0320571550785577;0,963068956258665;0,00487388866277632;0,000510688341131047;0,0173542653292488;0,000115052413081366;0,0102564102564103;1,04473082295776;0,0111944871019281
"considérer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000182530713578916;0,000345989202569787;0,000610842034123906;0,0102564102564103;0,248406902300858;0,000632881939597003
"choisir";0,317499735850884;0,702968917802947;9,59094940423169;0,0329975559185051;0,0730591353470229;0,99678158291862;0,00160993112011209;0,00697709956265654;0,991412969317232;0,000689272357370127;0,00337890803006528;0,628966225466886;0,00683760683760684;6,6332495807108;0,300854700854701
"utiliser";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"tenir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
